public	telegram_bind_codes	idx_telegram_bind_codes_user_id	CREATE INDEX idx_telegram_bind_codes_user_id ON public.telegram_bind_codes USING btree ("userId")
public	telegram_bind_codes	telegram_bind_codes_pkey	CREATE UNIQUE INDEX telegram_bind_codes_pkey ON public.telegram_bind_codes USING btree (id)
public	tmdb_cache	idx_tmdb_cache_expires_at	CREATE INDEX idx_tmdb_cache_expires_at ON public.tmdb_cache USING btree ("expiresAt")
public	tmdb_cache	tmdb_cache_pkey	CREATE UNIQUE INDEX tmdb_cache_pkey ON public.tmdb_cache USING btree (id)
public	tmdb_cache	uq_tmdb_cache_cache_key	CREATE UNIQUE INDEX uq_tmdb_cache_cache_key ON public.tmdb_cache USING btree ("cacheKey")
public	tv_calendar_items	idx_tv_calendar_items_air_date	CREATE INDEX idx_tv_calendar_items_air_date ON public.tv_calendar_items USING btree ("airDate")
public	tv_calendar_items	idx_tv_calendar_items_series_id	CREATE INDEX idx_tv_calendar_items_series_id ON public.tv_calendar_items USING btree ("seriesId")
public	tv_calendar_items	idx_tv_calendar_items_tmdb_id	CREATE INDEX idx_tv_calendar_items_tmdb_id ON public.tv_calendar_items USING btree ("tmdbId")
public	tv_calendar_items	tv_calendar_items_pkey	CREATE UNIQUE INDEX tv_calendar_items_pkey ON public.tv_calendar_items USING btree (id)
public	tv_calendar_items	uq_tv_calendar_items_tmdb_season_episode	CREATE UNIQUE INDEX uq_tv_calendar_items_tmdb_season_episode ON public.tv_calendar_items USING btree ("tmdbId", season, episode)
public	tv_calendar_sources	idx_tv_calendar_sources_last_episode_ingested_at	CREATE INDEX idx_tv_calendar_sources_last_episode_ingested_at ON public.tv_calendar_sources USING btree ("lastEpisodeIngestedAt")
public	tv_calendar_sources	idx_tv_calendar_sources_series_id	CREATE INDEX idx_tv_calendar_sources_series_id ON public.tv_calendar_sources USING btree ("seriesId")
public	tv_calendar_sources	tv_calendar_sources_pkey	CREATE UNIQUE INDEX tv_calendar_sources_pkey ON public.tv_calendar_sources USING btree (id)
public	tv_calendar_sources	uq_tv_calendar_sources_tmdb_id	CREATE UNIQUE INDEX uq_tv_calendar_sources_tmdb_id ON public.tv_calendar_sources USING btree ("tmdbId")
public	tv_calendar_subscriptions	idx_tv_calendar_subscriptions_tmdb_id	CREATE INDEX idx_tv_calendar_subscriptions_tmdb_id ON public.tv_calendar_subscriptions USING btree ("tmdbId")
public	tv_calendar_subscriptions	idx_tv_calendar_subscriptions_user_id	CREATE INDEX idx_tv_calendar_subscriptions_user_id ON public.tv_calendar_subscriptions USING btree ("userId")
public	tv_calendar_subscriptions	tv_calendar_subscriptions_pkey	CREATE UNIQUE INDEX tv_calendar_subscriptions_pkey ON public.tv_calendar_subscriptions USING btree (id)
public	tv_calendar_subscriptions	uq_tv_calendar_subscriptions_user_tmdb	CREATE UNIQUE INDEX uq_tv_calendar_subscriptions_user_tmdb ON public.tv_calendar_subscriptions USING btree ("userId", "tmdbId")
public	users	idx_users_email	CREATE UNIQUE INDEX idx_users_email ON public.users USING btree (email)
public	users	idx_users_emby_id	CREATE INDEX idx_users_emby_id ON public.users USING btree ("embyId")
public	users	idx_users_plan_group	CREATE INDEX idx_users_plan_group ON public.users USING btree ("planGroup")
public	users	idx_users_telegram_id	CREATE UNIQUE INDEX idx_users_telegram_id ON public.users USING btree ("telegramId") WHERE ("telegramId" IS NOT NULL)
public	users	idx_users_username	CREATE UNIQUE INDEX idx_users_username ON public.users USING btree (username)
public	users	users_pkey	CREATE UNIQUE INDEX users_pkey ON public.users USING btree (id)
